Species;SRR7048708_S53;SRR7049045_VS.B1;SRR7049060_MP79;SRR7049061_MP78;SRR7049072_MP74;SRR7049073_S47;SRR7049084_MP45;SRR7049085_MP44;SRR7049086_MP47;SRR7049087_MP46;SRR7049088_MP41;SRR7049090_MP43;SRR7049091_MP42;SRR7049096_MP49;SRR7049097_MP48;SRR7049154_FP55;SRR7049155_FP58;SRR7049156_FP57;SRR7049157_FP60;SRR7049158_FP59;SRR7049159_AS.B5;SRR7049160_AS.B4;SRR7049161_S54;SRR7049162_S55;SRR7049164_S57;SRR7049165_S58;SRR7049166_S59;SRR7049167_S60;SRR7049168_S61;SRR7049169_S62;SRR7049170_S63;SRR7049173_FP73;SRR7049174_FP74;SRR7049183_FP76;SRR7049184_FP75;SRR7049187_FP80;SRR7049188_FP79;SRR7049201_FP64;SRR7049202_FP63;SRR7049225_FP62;SRR7049226_FP61;SRR7049247_VS.B4;SRR7049248_VS.B3;SRR7049253_MP71;SRR7049255_MP70;SRR7049256_MP73;SRR7049257_MP72
Thermotoga naphthophila;10.72185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.03428;0;0;0;2.08656;8.69458;2.09099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermotoga neapolitana;12.87084;136.33265;0;0;0;10.14739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.47708;42.52734;6.42426;0;0;21.81709;28.0533;16.00379;14.05644;116.34671;0;70.24939;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermotoga petrophila;10.64141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.33177;0;0;27.33361;0;0;4.14179;0;4.15058;0;0;0;0;0;0;0;0;78.9266;0;0;0;0;0;0;0
Thermotoga profunda;31.04591;117.43981;95.55662;0;124.14649;13.11246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.55477;10.46737;23.52062;0;29.49309;24.08082;22.44088;28.77232;20.32617;0;0;60.51437;0;0;0;52.75653;0;65.76784;0;0;0;0;0;0;0
Thermotoga sp;2.58358;0;0;0;0;5.0923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.22388;0;0;1.36856;2.01113;0;2.01541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermovibrio ammonificans;17.29505;0;0;0;0;17.04449;0;0;0;0;44.44444;0;0;0;0;0;0;0;0;0;0;0;5.77701;0;0;0;19.1681;10.68841;32.53565;35.84146;17.98875;0;0;0;0;0;0;0;0;0;0;0;0;179.85612;0;0;0
Thermovirga lienii;23.42036;0;0;0;0;14.57726;143.26648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.76333;0;13.84339;0;16.39411;21.5475;26.22733;35.98513;21.15456;0;0;0;0;0;0;0;0;0;0;273.22404;0;0;0;0;0
Thermus aquaticus;7.86446;118.9768;0;0;125.86532;4.4288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.21228;2.80387;0;7.47105;7.14158;15.74216;7.28854;5.69673;0;0;0;0;104.93179;92.67841;0;0;0;0;0;0;0;0;107.29614;0
Thermus brockianus;2.38365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69.63788;0;4.77715;45.0045;5.94884;0;0;2.52532;13.91633;9.02044;5.57833;0;0;0;0;0;98.32842;0;0;70.69636;0;0;0;0;0;0;0
Thermus oshimai;7.02255;0;0;0;0;0;0;0;0;0;0;0;0;0;208.11655;0;0;0;0;0;68.37607;0;4.69142;33.14734;0;24.05292;23.34903;6.19994;8.50356;22.77904;4.56515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermus parvatiensis;2.5903;0;0;0;0;30.63334;0;0;0;0;0;0;0;0;0;0;0;123.99256;0;0;151.34317;0;0;12.22643;3.23227;0;8.61252;4.11636;4.70487;7.00177;4.0413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermus scotoductus;21.70498;0;0;0;0;0;0;187.09074;63.13131;0;0;61.0687;0;0;0;0;0;98.91197;0;0;301.93237;141.54282;33.14276;0;2.57945;0;0;8.75997;14.48214;6.70515;5.64389;0;0;0;0;96.5251;0;0;0;0;50.90354;0;0;0;0;0;0
Thermus sp;8.64827;0;0;0;0;8.52279;0;0;0;0;0;0;0;0;192.12296;0;0;0;0;0;63.15125;148.03849;0;10.20512;13.48945;0;7.18856;12.02536;9.53709;15.1949;5.05975;0;0;0;0;0;0;102.88066;0;0;0;0;0;0;0;0;0
Thermus thermophilus;5.12033;0;0;0;0;22.7072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74.79432;0;5.13084;0;0;26.30541;0;1.35615;8.96804;0;4.99281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thioalkalimicrobium aerophilum;14.60953;0;0;0;0;17.72029;0;101.7294;0;0;0;0;0;0;0;0;0;0;0;0;32.82994;153.96459;36.03604;21.21791;22.43725;0;7.473;19.64485;27.41068;46.17366;28.05332;0;0;0;0;0;0;0;0;0;0;0;274.34842;0;0;0;0
Thioalkalimicrobium cyclicum;26.35873;0;0;0;0;14.84377;0;0;0;0;38.70718;0;0;0;0;0;0;0;0;0;0;0;15.0932;23.69809;23.49403;25.79314;8.3469;23.93601;29.96362;61.07119;7.34358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
